DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
07-Nov-2025,EQ,"360.00","367.85","359.75","367.95","367.00","367.15","364.59","380.00","234.01",11711108,"4,26,97,62,903.40",126650
06-Nov-2025,EQ,"380.00","380.00","367.25","372.95","368.50","367.95","371.38","380.00","234.01",11803637,"4,38,36,52,002.35",140792
04-Nov-2025,EQ,"369.85","373.95","368.15","367.30","373.00","372.95","371.69","373.95","234.01",12649509,"4,70,17,23,479.45",165873
03-Nov-2025,EQ,"361.95","369.50","356.25","356.80","367.60","367.30","363.33","369.50","234.01",20107281,"7,30,56,45,457.65",137606
31-Oct-2025,EQ,"358.00","360.55","355.10","357.60","356.20","356.80","358.05","360.55","234.01",7532962,"2,69,71,95,823.25",90011
30-Oct-2025,EQ,"350.00","359.80","345.30","348.10","358.10","357.60","355.49","359.80","234.01",14807100,"5,26,37,53,111.50",163501
29-Oct-2025,EQ,"341.90","349.00","340.85","340.65","348.55","348.10","346.25","358.65","234.01",9756868,"3,37,83,48,659.00",71394
28-Oct-2025,EQ,"344.00","345.50","339.60","343.00","340.65","340.65","341.55","358.65","234.01",6156249,"2,10,26,44,346.30",50116
27-Oct-2025,EQ,"332.70","343.50","331.25","330.45","343.15","343.00","339.60","358.65","234.01",11767585,"3,99,62,45,278.70",99267
24-Oct-2025,EQ,"330.15","334.40","327.20","331.30","331.25","330.45","331.55","358.65","234.01",8260920,"2,73,88,95,786.20",70146
23-Oct-2025,EQ,"340.00","340.15","330.05","339.05","331.40","331.30","333.83","358.65","234.01",8457356,"2,82,32,90,333.30",69789
21-Oct-2025,EQ,"339.40","340.25","337.70","337.70","339.10","339.05","338.91","358.65","234.01",404063,"13,69,41,282.40",7298
20-Oct-2025,EQ,"336.25","340.05","335.50","335.85","338.00","337.70","337.58","358.65","234.01",6134873,"2,07,10,30,274.45",55304
17-Oct-2025,EQ,"336.10","338.30","332.70","335.90","335.70","335.85","334.93","358.65","234.01",7824777,"2,62,07,31,766.85",74433
16-Oct-2025,EQ,"338.95","338.95","333.55","337.90","335.70","335.90","336.09","358.65","234.01",6279302,"2,11,04,23,764.75",126181
15-Oct-2025,EQ,"334.95","340.75","332.05","332.45","338.50","337.90","337.08","358.65","234.01",16271995,"5,48,50,14,630.40",72031
14-Oct-2025,EQ,"338.15","340.30","330.65","337.95","332.50","332.45","334.22","358.65","234.01",4343927,"1,45,18,30,259.40",47529
