DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-May-2025,EQ,"392.80","398.00","391.45","388.90","396.85","396.60","395.96","594.80","287.55",4370060,"1,73,03,85,516.65",65078
13-May-2025,EQ,"390.00","393.60","386.20","388.80","389.60","388.90","389.22","594.80","287.55",3665291,"1,42,66,12,481.40",57024
12-May-2025,EQ,"395.00","397.00","386.00","386.25","388.70","388.80","390.52","594.80","287.55",4957935,"1,93,61,83,279.40",56879
09-May-2025,EQ,"382.20","388.00","380.00","388.10","385.30","386.25","384.61","594.80","287.55",3757854,"1,44,53,14,853.05",75066
08-May-2025,EQ,"399.00","402.60","385.00","396.95","387.00","388.10","393.17","594.80","287.55",5347464,"2,10,24,83,036.00",60713
07-May-2025,EQ,"394.00","405.10","392.60","396.80","396.95","396.95","398.27","594.80","287.55",8825404,"3,51,48,69,825.35",120128
06-May-2025,EQ,"410.00","411.85","395.10","409.85","397.40","396.80","402.66","594.80","287.55",5485163,"2,20,86,55,330.05",62899
05-May-2025,EQ,"392.00","414.00","391.25","385.05","411.50","409.85","407.12","594.80","287.55",28073682,"11,42,92,22,427.75",206101
02-May-2025,EQ,"379.95","390.30","379.95","378.70","386.75","385.05","385.58","594.80","287.55",4484802,"1,72,92,66,814.00",40314
30-Apr-2025,EQ,"395.00","402.75","374.50","391.10","376.50","378.70","388.85","594.80","287.55",9150558,"3,55,81,73,099.65",88000
29-Apr-2025,EQ,"393.10","396.80","389.25","392.20","391.00","391.10","392.29","594.80","287.55",4419920,"1,73,38,79,434.35",85779
28-Apr-2025,EQ,"377.00","393.00","377.00","380.70","392.65","392.20","390.28","594.80","287.55",6104973,"2,38,26,46,415.00",59281
25-Apr-2025,EQ,"390.40","393.10","378.25","390.45","380.00","380.70","382.82","594.80","287.55",2552932,"97,73,02,210.95",35038
24-Apr-2025,EQ,"390.00","394.00","387.30","388.80","390.10","390.45","390.58","594.80","287.55",4385172,"1,71,27,39,119.35",40099
23-Apr-2025,EQ,"398.50","399.20","383.85","398.45","388.85","388.80","389.42","594.80","287.55",4742867,"1,84,69,69,938.15",71487
22-Apr-2025,EQ,"395.90","402.25","393.00","394.85","397.75","398.45","398.65","594.80","287.55",5630844,"2,24,47,55,068.25",54167
21-Apr-2025,EQ,"387.70","399.00","384.50","387.70","395.00","394.85","392.40","594.80","287.55",2836553,"1,11,30,67,511.75",34096
17-Apr-2025,EQ,"389.90","391.30","385.05","390.05","387.00","387.70","387.59","594.80","287.55",2358710,"91,42,12,679.85",36497
